song_title,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
New Day - Album Version (Edited),0.396,0.566,272827,0.644,8.69E-05,10,0.184,-6.822,0,0.0737,91,4,0.376
That's My Bitch - Album Version (Edited),0.238,0.77,202547,0.868,0.00039,7,0.124,-6.225,1,0.108,109.018,4,0.489
Welcome To The Jungle - Album Version (Edited),0.0115,0.639,174133,0.926,5.18E-06,7,0.144,-5.292,1,0.367,93.052,4,0.331
Who Gon Stop Me - Album Version (Edited),0.0452,0.606,256720,0.74,4.06E-05,0,0.502,-4.746,0,0.186,133.934,4,0.33
Murder To Excellence - Album Version (Edited),0.0221,0.396,300960,0.822,0,1,0.0839,-4.744,1,0.441,174.292,4,0.574
Made In America - Album Version (Edited),0.0383,0.705,292000,0.734,0.000103,11,0.214,-6.981,0,0.213,165.846,4,0.549
Why I Love You - Album Version (Edited),0.0237,0.603,201453,0.783,0,5,0.223,-4.119,1,0.0383,125.184,4,0.358
Illest Motherf**ker Alive - Album Version (Edited),0.165,0.424,503267,0.679,0,11,0.618,-6.116,1,0.118,69.813,4,0.287
H•A•M - Album Version (Edited),0.0563,0.484,275747,0.507,0,8,0.317,-5.039,1,0.0786,140.05,4,0.037
Primetime - Album Version (Edited),0.144,0.655,199200,0.896,1.39E-05,11,0.361,-5.247,0,0.179,84.963,4,0.519
The Joy - Album Version (Edited),0.153,0.463,315880,0.507,4.61E-05,7,0.152,-6.324,1,0.379,76.107,4,0.324
Dark Fantasy,0.274,0.599,280787,0.587,0,5,0.167,-5.919,1,0.0423,87.998,4,0.373
Gorgeous,0.0207,0.598,357653,0.713,0.000175,6,0.431,-3.625,0,0.0326,91.964,4,0.118
POWER,0.0161,0.542,292093,0.914,0,0,0.744,-4.747,0,0.113,153.993,4,0.576
All Of The Lights (Interlude),0.902,0.296,62253,0.0792,0.591,10,0.128,-16.569,0,0.0389,110.95,3,0.496
All Of The Lights,0.0796,0.531,299613,0.803,1.71E-05,1,0.176,-3.284,1,0.0717,142.113,4,0.221
Monster,0.00244,0.628,378893,0.692,0.0129,2,0.668,-5.64,1,0.202,124.887,5,0.0963
So Appalled,0.255,0.64,397667,0.754,0,1,0.63,-5.873,0,0.283,87.15,4,0.584
Devil In A New Dress,0.0175,0.435,351947,0.76,0,8,0.158,-4.935,0,0.0721,80.082,4,0.206
Runaway,0.219,0.374,547733,0.568,0.00219,1,0.513,-3.825,0,0.109,84.733,4,0.111
